newsDate,newsIntro,newsTitle,newsUrl
12/10;12/9;12/7,"The Toronto Raptors picked up two very impressive wins against...;Like the Pacers, the Raptors opted to cancel their practice on...;The Toronto Raptors haven't played many games in which all...","Raptors Rapture: Pitiful third quarter in Thunder loss highlighted all of Raptors' issues;HoopsRumors: Raptors Notes: Practice, Sabonis, Turner, Achiuwa, Banton;Raptors Rapture: Latest Raptors injury update is bad news for OG Anunoby, Khem Birch",https://raptorsrapture.com/2021/12/09/raptors-issues-pitiful-third-quarter-thunder-loss/;https://www.hoopsrumors.com/2021/12/raptors-notes-practice-sabonis-turner-achiuwa-banton.html;https://raptorsrapture.com/2021/12/07/raptors-injury-update-bad-news-og-anunoby-khem-birch/
12/10;12/4;12/2,"The NBA Western Conference is more competitive and fierce...;Welcome to the NBA DFS 12-4-21 FanDuel picks article! We've...;After losing our usual slate of Thursday action to the holidays,...",The Cold Wire: 3 Surprise NBA Finals Contenders In The West;Fantasy Six Pack: NBA DFS 12-4-21 FanDuel Picks;SGPN: NBA DFS Picks for Thursday – December 2nd,https://www.thecoldwire.com/surprise-nba-finals-contenders-in-the-west/;https://fantasysixpack.net/nba-dfs-12-4-21-fanduel-picks/;https://www.sportsgamblingpodcast.com/2021/12/02/nba-dfs-picks-for-thursday-december-2nd/
12/10;12/10;12/9,"As the Miami Heat are and will be from a leadership standpoint...;There are a few things about the Miami Heat, as a franchise and...;The Miami Heat knew they would be without one of their top stars...","All U Can Heat: Miami Heat: Coach Spo, Suns' Williams, & Zaga's Few On Kerr's USA Staff;All U Can Heat: Miami Heat: Markieff Morris's Absence Can't Go Understated;All U Can Heat: Miami Heat: Caleb Martin Does Best 'Jimmy Butler' Impersonation",https://allucanheat.com/2021/12/10/miami-heat-spo-williams-mark-kerr-usa/;https://allucanheat.com/2021/12/10/miami-heat-markieff-absence-understated/;https://allucanheat.com/2021/12/09/miami-heat-caleb-jimmy-impersonation/
12/3;11/10;10/21,The Oklahoma City Thunder are not expected to make much...;Hoops Rumors is breaking down the 2021 offseason for all 30 NBA...;Hoops Rumors is breaking down the 2021 offseason for all 30 NBA...,The Cold Wire: Thunder Make NBA History In The Worst Way Possible;HoopsRumors: 2021 NBA Offseason In Review: Utah Jazz;HoopsRumors: 2021 NBA Offseason In Review: Memphis Grizzlies,https://www.thecoldwire.com/thunder-make-nba-history-in-the-worst-way-possible/;https://www.hoopsrumors.com/2021/11/2021-nba-offseason-in-review-utah-jazz.html;https://www.hoopsrumors.com/2021/10/2021-nba-offseason-in-review-memphis-grizzlies.html
12/10;12/9;12/7,The NBA season is moving right along and we are starting...;The Nets are resting Kevin Durant and LaMarcus Aldridge for tonight's...;It was not too long ago when the San Antonio Spurs last...,"The Cold Wire: 3 Surprise NBA Finals Contenders In The East;HoopsRumors: New York Notes: Durant, Harden, Turner, Barrett;The Cold Wire: The Spurs Are Trying To Avoid Sliding Into A Rebuild",https://www.thecoldwire.com/surprise-nba-finals-contenders-in-the-east/;https://www.hoopsrumors.com/2021/12/new-york-notes-durant-harden-turner-barrett.html;https://www.thecoldwire.com/the-spurs-are-trying-to-avoid-sliding-into-a-rebuild/
12/9;12/4;12/3,Pelicans point guard Kira Lewis Jr. has been lost for the season...;The NBA Draft is an annual gamble for all teams. While...;The NBA had their biggest game of the year up to this point on...,HoopsWire: Pelicans' Kira Lewis Jr Out For Season With Torn ACL;The Cold Wire: 3 Likely Busts From The 2019 NBA Draft Class;Prime Time Sports Talk: NBA Power Rankings: 11/26-12/2,https://hoopswire.com/pelicans-kira-lewis-jr-out-for-season-with-torn-acl/;https://www.thecoldwire.com/likely-busts-from-the-2019-nba-draft-class/;https://primetimesportstalk.com/2021/12/03/nba-power-rankings-11-26-12-2/
12/8;12/6;12/6,"Our latest fantasy basketball waiver wire list has a mixture of...;Bucks point guard Donte DiVincenzo has been assigned to the Wisconsin...;After a turbulent start to the season, the Milwaukee Bucks have...","SGPN: Fantasy Basketball Waiver Wire: Best Pickups Dec 8th;HoopsWire: Bucks Assign Donte DiVincenzo To G League, Indicating Return Near;Behind the Buck Pass: 3 Milwaukee Bucks exceeding early expectations in 2021-22 NBA season",https://www.sportsgamblingpodcast.com/2021/12/08/fantasy-basketball-waiver-wire-best-pickups-dec-8th/;https://hoopswire.com/bucks-assign-donte-divincenzo-to-g-league-indicating-return-near/;https://behindthebuckpass.com/2021/12/06/milwaukee-bucks-early-expectations-nba-season/
12/10;12/10;12/10,"Rookie guard Ayo Dosunmu has started the past two games for the...;Heading into the season, I never would've thought the Cleveland...;The Cleveland Cavaliers' mid-season review is a good one,...","HoopsRumors: Central Notes: Dosunmu, Jarrett Allen, Pistons;Right Down Euclid: Darius Garland expresses how Cavs are becoming increasingly confident;The Game Haus: Mid-Season Review of Cleveland Cavaliers' 14-12 Start",https://www.hoopsrumors.com/2021/12/central-notes-dosunmu-jarrett-allen-pistons.html;https://kingjamesgospel.com/2021/12/10/cavs-darius-garland-expresses-team-increasingly-confident/;https://thegamehaus.com/nba/mid-season-review-cleveland-cavaliers-start/2021/12/10/
10/25;9/14;9/8,Hoops Rumors is breaking down the 2021 offseason for all 30 NBA...;The Pelicans are signing free agent guard Jared Harper and big...;After playing for the Pelicans' team at the Las Vegas Summer...,"HoopsRumors: 2021 NBA Offseason In Review: New Orleans Pelicans;HoopsRumors: Pelicans Signing Jared Harper, James Banks To Camp Deals;HoopsRumors: Pelicans To Sign Malcolm Hill To Camp Deal",https://www.hoopsrumors.com/2021/10/2021-nba-offseason-in-review-new-orleans-pelicans.html;https://www.hoopsrumors.com/2021/09/pelicans-signing-jared-harper-james-banks-to-camp-deals.html;https://www.hoopsrumors.com/2021/09/pelicans-to-sign-malcolm-hill-to-camp-deal.html
12/8;11/30;11/29,"Grizzlies star Ja Morant, who's currently sidelined with...;Mavericks fans have been clamoring for Moses Brown to get a longer...;It's growing closer to that time of year again. Trade season is...","HoopsRumors: Ja Morant Enters Health And Safety Protocols;HoopsRumors: Southwest Notes: M. Brown, Grizzlies, Pelicans, Wall;8 Points, 9 Seconds: Three extremely early trade ideas for the reeling Indiana Pacers",https://www.hoopsrumors.com/2021/12/ja-morant-enters-health-and-safety-protocols.html;https://www.hoopsrumors.com/2021/11/southwest-notes-m-brown-grizzlies-pelicans-wall.html;https://8points9seconds.com/2021/11/29/indiana-pacers-early-trade-ideas/
12/11;12/10;12/10,Warriors star Stephen Curry is running away with the early season...;The Houston Rockets are pegged as nine-point underdogs in their...;Welcome to the NBA DFS 12-10-21 DraftKings Picks article! Today...,"HoopsRumors: Pacific Notes: Curry, Ayton, AD, Ariza, Holmes;Space City Scoop: Houston Rockets v Milwaukee Bucks: Odds & Best Bets ;Fantasy Six Pack: NBA DFS 12-10-21 DraftKings Picks",https://www.hoopsrumors.com/2021/12/pacific-notes-curry-ayton-ad-ariza-holmes.html;https://spacecityscoop.com/posts/houston-rockets-v-milwaukee-bucks-odds-best-bets;https://fantasysixpack.net/nba-dfs-12-10-21-draftkings-picks/
11/23;10/28;10/22,"Bucks forward Semi Ojeleye, whose season debut last month was...;It's hard living in the shadow of a sibling, even if they're...;Hoops Rumors is breaking down the 2021 offseason for all 30 NBA...",HoopsRumors: Bucks' Ojeleye Out At Least Three Weeks With Calf Injury;Behind the Buck Pass: Milwaukee Bucks: How Thanasis Antetokounmpo is starring in his role;HoopsRumors: 2021 NBA Offseason In Review: Milwaukee Bucks,https://www.hoopsrumors.com/2021/11/bucks-ojeleye-out-at-least-three-weeks-with-calf-injury.html;https://behindthebuckpass.com/2021/10/28/milwaukee-bucks-thanasis-antetokounmpo-excelling/;https://www.hoopsrumors.com/2021/10/2021-nba-offseason-in-review-milwaukee-bucks.html
12/10;12/9;12/8,"The NBA season is over a quarter of the way through, with most...;Before we get into the 2021-22 Fantasy Basketball Week 8 Drop...;According to multiple reports, Los Angeles Lakers head...",Overtime Heroics: Five Most Disappointing NBA Teams So Far;Fantasy Six Pack: 2021-22 Fantasy Basketball Week 8 Drop List;The Cold Wire: Is Frank Vogel On The Hot Seat With The Lakers?,https://www.overtimeheroics.net/2021/12/10/five-most-disappointing-nba-teams-so-far/;https://fantasysixpack.net/2021-22-fantasy-basketball-week-8-drop-list/;https://www.thecoldwire.com/is-frank-vogel-on-the-hot-seat-with-the-lakers/
12/10;12/10;12/9,Another crazy week in the NBA is now in the books and it had some...;It is a Magic-al time of the year for the Orlando Magic. Get it?A...;The Orlando Magic -- this Orlando Magic team -- scored 67 points...,Prime Time Sports Talk: NBA Power Rankings: 12/3-12/9;Orlando Magic Daily: 5 Questions for the Second Quarter of the Orlando Magic's Season;Orlando Magic Daily: Orlando Magic Grades: Orlando Magic's defense fails in Sacramento,https://primetimesportstalk.com/2021/12/10/nba-power-rankings-12-3-12-9/;https://orlandomagicdaily.com/2021/12/10/5-questions-for-the-second-quarter-of-the-orlando-magics-season/;https://orlandomagicdaily.com/2021/12/09/orlando-magic-grades-orlando-magics-defense-fails-sacramento/
12/8;12/8;12/7,The Toronto Raptors expected Gary Trent Jr. to take a step forward...;Turns out when theOKC Thunderhave their best players available...;Raptors forward OG Anunoby and center Khem Birch aren't...,"Raptors Rapture: Gary Trent Jr. turned Raptors' Greivis Vazquez trade into all-time heist;Thunderous Intentions: OKC Thunder versus Raptors: the Canadian Bowl - preview;HoopsRumors: Raptors' Anunoby, Birch To Remain Sidelined For ""Foreseeable Future""",https://raptorsrapture.com/2021/12/08/raptors-gary-trent-jr-greivis-vazquez-trade/;https://thunderousintentions.com/2021/12/08/okc-thunder-raptors-preview/;https://www.hoopsrumors.com/2021/12/raptors-anunoby-birch-to-remain-sidelined-for-foreseeable-future.html
